编号,功能点,详细说明
MK-01,客户数据拉取,系统可定时或实时同步CRM中的客户基础信息联系人信息商机阶段历史订单拜访记录等数据，形成统一客户画像，为销售预测和跨部门协同提供数据基础。
MK-02,客户档案管理,支持维护客户名称行业区域规模来源信用等级合作状态等信息，并记录客户历史交易与服务情况，方便销售与管理层统一查看。
MK-03,联系人与决策链管理,维护客户联系人岗位联系方式决策角色影响力等信息，帮助销售识别关键决策人并制定针对性跟进策略。
MK-04,商机全过程管理,支持从线索录入商机分配阶段推进到成交转化的全过程管理，并记录每次跟进内容预计金额预计成交时间等关键信息。
MK-05,客户拜访与行为记录,记录销售拜访电话沟通微信沟通需求反馈投诉建议等互动信息，沉淀客户行为轨迹，为后续分析提供依据。
MK-06,销售目标管理,支持按部门区域人员产品线设定销售目标，并实时跟踪目标达成率回款率和订单完成情况。
MK-07,销售漏斗分析,系统按线索商机报价合同订单等阶段形成销售漏斗，自动统计转化率流失率和阶段停留时长，辅助发现销售瓶颈。
MK-08,报价单管理,支持销售人员创建报价单维护产品价格折扣税率交期等信息，并进行审批版本管理和发送留痕。
MK-09,合同管理,支持合同起草审批签订执行归档的全过程管理，并自动关联客户订单回款和开票节点。
MK-10,订单管理,实现客户订单录入审批变更拆分合并和状态跟踪，并向生产采购仓储物流等环节同步需求信息。
MK-11,实时销售预测,基于历史订单商机阶段客户活跃度市场变化等数据，自动预测未来销售趋势，形成按周按月按季度的销售预测结果。
MK-12,SKU销量预测,系统可按产品SKU维度对未来销量进行预测，识别重点增长产品热销产品和滞销产品，为生产与备货提供参考。
MK-13,客户采购意向预测,基于客户浏览询价报价查看样品申请历史下单等行为数据，识别潜在采购意向并自动标记高意向客户。
MK-14,客户活跃度分析,统计客户近7天近30天的访问浏览询价下单互动频次，结合订单变化判断客户活跃程度和跟进优先级。
MK-15,客户流失预警,针对长期无互动订单下降回款异常投诉增加等情况进行识别，并自动生成客户流失风险预警。
MK-16,商机成交概率预测,结合行业客户规模预算进度商机阶段销售跟进频率等因素，自动评估商机成交概率并给出重点跟进建议。
MK-17,异常订单识别,识别异常低价超大金额超短交期异常产品组合等订单，提示销售财务生产进行联合评估。
MK-18,AI销售建议,系统根据客户画像购买历史行业偏好和热销趋势，向销售推荐合适产品报价策略组合销售和跟进建议。
MK-19,应收账款联动,订单合同与应收账款自动关联，销售可查看客户应收余额账龄逾期金额，财务可同步跟踪回款情况。
MK-20,客户信用控制,根据客户信用额度历史回款履约记录自动进行授信评估，对超额度订单触发审批或预警。
MK-21,回款计划跟踪,依据合同账期自动生成回款计划，支持节点提醒逾期预警和责任人跟踪，提升回款管理效率。
MK-22,销售收入预测,结合商机订单发货回款计划预测未来收入情况，为财务预算和经营分析提供支持。
MK-23,毛利与利润贡献分析,按客户订单产品区域维度统计毛利水平和利润贡献，帮助企业优化客户结构和产品策略。
MK-24,发票与对账协同,支持开票申请开票状态发票信息核销情况及销售财务对账协同，减少人工核对工作量。
MK-25,销售驱动生产需求,销售订单与销售预测可自动转化为生产需求输入，推动生产部门提前准备排产和资源配置。
MK-26,生产计划建议,结合预测销量订单优先级产能负荷物料情况，自动生成生产计划建议，支持人工调整后下发执行。
MK-27,产能匹配分析,系统对订单需求与设备班组产线产能进行匹配分析，识别瓶颈资源和超负荷风险。
MK-28,交期承诺校验,销售在报价或接单时可实时校验库存物料产能和排产情况，判断是否能够满足客户交期。
MK-29,紧急插单预警,对于加急订单插单订单系统自动分析对现有排产交付资源的影响，并提示风险和调整建议。
